Query,Expected,Groq Expected,Groq Reason,Predicted,Predicted_Qwen
"Tatlong OFW na nasa deathrow sa China...  Nahanapan sila na mayroong Droga, may pag-asa pa bang mailigtas?",Reasoning-LLM,Reasoning-LLM,"The query involves a specific scenario of OFWs facing a legal issue, namely being on death row in China for drug-related charges, and asks about the possibility of being saved.",,Reasoning-LLM
Ang Passport and Employment Contract ko ay nasunog sa Isang High-rise fire Accident. Anong Gagawin ko?,Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation with potential legal implications, specifically regarding damaged important documents, which requires guidance on what action to take.",,General-LLM
pag may pandemic. maiiwan ba ako here sa hongkong or sa home country ko?,General-LLM,Reasoning-LLM,"The query involves a personal situation of an OFW considering their options during a pandemic, which requires reasoning and analysis of their legal options and risks.",,Reasoning-LLM
Paano gumagana yung bagong Senate Bill No. 2390?,General-LLM,General-LLM,"The query asks for general information about the Senate Bill No. 2390, which is related to labor law and does not involve a personal situation or scenario.",,General-LLM
Nawalan ako ng trabaho dahil I made a Case sa Sexual Assault sakin ng boss ko. may magagawa ba ako?,Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation and asks for advice on what action to take after being terminated from work due to filing a sexual assault case against the boss, which indicates a legal dispute.",,Reasoning-LLM
"I got fired by my boss because I admitted to eating my boss' meatballs, which he deducted and added additional fine from my salary. my boss then filed a case of theft. I will soon be stripped of eligibility to find work. can I do anything about this?",Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation with a scenario of being fired, a dispute with the boss, and potential legal consequences, requiring analysis and advice on possible actions to take.",,Reasoning-LLM
paano ang repatriation? pag nacancel all flights ngay?,General-LLM,General-LLM,"The query asks for general information about repatriation, which is a relevant topic to OFW labor law, and does not involve a personal situation or scenario.",,General-LLM
may rumors na may pandemic dito sa hong kong. paano ko matutulungan pamilya ko?,Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation and asks for advice on how to take action to help the user's family during a pandemic, indicating a need for reasoning and guidance on a specific scenario.",,General-LLM
Ano ang mga karapatan ko as an OFW?,General-LLM,General-LLM,"The query asks for general information about the rights of an OFW, which is a straightforward and informative question without a specific personal situation or scenario.",,General-LLM
Magkano na ang Minimum Allowable Wage (MAW) para sa mga FDH simula noong September 2025?,General-LLM,General-LLM,"The query asks for general information about the Minimum Allowable Wage for foreign domestic helpers, which is a straightforward and definition-based question.",,General-LLM
Pinaglilinis ako ng amo ko ng bintana sa labas ng high-rise building nang walang safety harness. Pwede ko ba itong tanggihan?,Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation and asks what action to take in response to a potentially hazardous work assignment, which requires legal analysis and reasoning.",,Reasoning-LLM
Kailan ang mga Statutory Holidays sa Hong Kong para sa taong 2026?,General-LLM,General-LLM,"The query asks for general information about statutory holidays in Hong Kong, which is a straightforward and factual question related to labor law.",,General-LLM
Nag-file ako ng maternity leave pero bigla akong binigyan ng termination notice. Ano ang legal steps na dapat kong gawin sa Labour Department?,Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation with a legal dispute, specifically a termination notice during maternity leave, requiring guidance on necessary actions to take.",,Reasoning-LLM
"Sabi ng amo ko, ikakaltas daw sa sahod ko yung nabasag kong mamahaling plorera. Tama ba ito sa ilalim ng Employment Ordinance?",Reasoning-LLM,Reasoning-LLM,"The query involves a scenario where the user's employer is threatening to deduct a broken item's cost from their salary, requiring an analysis of the Employment Ordinance to determine the correctness of the action.",,Reasoning-LLM
"Ano ang ""417 rule"" at paano ito nagbago ngayong January 2026 para sa mga part-time workers?",General-LLM,General-LLM,"The query asks for general information and explanation about the ""417 rule"" and its changes, without involving a personal situation or scenario.",,General-LLM
