Query,Expected,Groq Expected,Predicted_Gemini,Predicted_Qwen
"Tatlong OFW na nasa deathrow sa China...  Nahanapan sila na mayroong Droga, may pag-asa pa bang mailigtas?",Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
Ang Passport and Employment Contract ko ay nasunog sa Isang High-rise fire Accident. Anong Gagawin ko?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,General-LLM
pag may pandemic. maiiwan ba ako here sa hongkong or sa home country ko?,General-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
Paano gumagana yung bagong Senate Bill No. 2390?,General-LLM,General-LLM,General-LLM,General-LLM
Nawalan ako ng trabaho dahil I made a Case sa Sexual Assault sakin ng boss ko. may magagawa ba ako?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
"I got fired by my boss because I admitted to eating my boss' meatballs, which he deducted and added additional fine from my salary. my boss then filed a case of theft. I will soon be stripped of eligibility to find work. can I do anything about this?",Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
paano ang repatriation? pag nacancel all flights ngay?,General-LLM,General-LLM,General-LLM,General-LLM
may rumors na may pandemic dito sa hong kong. paano ko matutulungan pamilya ko?,Reasoning-LLM,Reasoning-LLM,General-LLM,General-LLM
Ano ang mga karapatan ko as an OFW?,General-LLM,General-LLM,General-LLM,General-LLM
Magkano na ang Minimum Allowable Wage (MAW) para sa mga FDH simula noong September 2025?,General-LLM,General-LLM,General-LLM,General-LLM
Pinaglilinis ako ng amo ko ng bintana sa labas ng high-rise building nang walang safety harness. Pwede ko ba itong tanggihan?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
Kailan ang mga Statutory Holidays sa Hong Kong para sa taong 2026?,General-LLM,General-LLM,General-LLM,General-LLM
Nag-file ako ng maternity leave pero bigla akong binigyan ng termination notice. Ano ang legal steps na dapat kong gawin sa Labour Department?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
"Sabi ng amo ko, ikakaltas daw sa sahod ko yung nabasag kong mamahaling plorera. Tama ba ito sa ilalim ng Employment Ordinance?",Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
Ano ang "417 rule" at paano ito nagbago ngayong January 2026 para sa mga part-time workers?,General-LLM,General-LLM,General-LLM,General-LLM
Nawala ang HKID ko habang nagbabakasyon sa Pinas. Paano ako makakabalik sa Hong Kong?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,General-LLM
Pwede bang pilitin ng amo na wag akong pag-off sa Linggo at bayaran na lang ang day-off ko?,General-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
Ang amo ko ay lumipat ng bahay sa China at gusto nilang sumama ako para magtrabaho doon. Valid ba ito sa contract ko?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
"Ano ang address at hotline ng Philippine Consulate General sa United Centre, Admiralty?",General-LLM,General-LLM,General-LLM,General-LLM
Binigyan ako ng "one-month notice" pero pinalayas ako agad sa bahay ngayong gabi. Saan ako pwedeng tumuloy na shelter?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
Nakasaad ba sa batas na dapat may sariling kwarto ang isang stay-in na helper sa Hong Kong?,General-LLM,General-LLM,General-LLM,General-LLM
Paano ko makukuha ang aking Long Service Payment kung 5 years na ako sa amo ko pero ayaw nila akong i-renew?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
Ano ang gagawin kung ang sahod ko ay laging late ng higit sa 7 araw?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
Idadagdag na ba ang Easter Monday bilang statutory holiday simula ngayong 2026?,General-LLM,General-LLM,General-LLM,General-LLM
"Pwede ko bang kunin ang Easter Monday (April 6, 2026) bilang paid holiday?",General-LLM,General-LLM,General-LLM,General-LLM
Nag-sign ako ng contract noong October 2025. Magkano dapat ang minimum na sahod ko?,General-LLM,General-LLM,General-LLM,General-LLM
"Sabi ng amo ko, isasama na lang daw sa sahod ko yung bayad sa holiday para magtrabaho ako. Pwede ba yun?",Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
"Natapat sa Sunday (Rest Day) ang Ching Ming Festival ngayong April 5, 2026. May substitute holiday ba ako?",General-LLM,General-LLM,General-LLM,General-LLM
"Paano kung nagkasakit ako sa mismong araw ng Statutory Holiday, mababayaran pa rin ba ako?",Reasoning-LLM,Reasoning-LLM,General-LLM,Reasoning-LLM
Ano ang mangyayari kung hindi ako binigyan ng holiday pay kahit lagpas 3 months na ako sa trabaho?,Reasoning-LLM,Reasoning-LLM,General-LLM,Reasoning-LLM
Magkano ang food allowance ko kung hindi ako pinapakain ng amo ko sa bahay nila?,General-LLM,Reasoning-LLM,Reasoning-LLM,General-LLM
"Nakapirma ako ng contract bago mag September 30, 2025. Makukuha ko ba yung $5,100 na sahod?",Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
Pwede ko bang ipunin ang mga statutory holidays ko at gamitin lahat sa dulo ng taon?,General-LLM,General-LLM,General-LLM,Reasoning-LLM
Sinabihan ako ng amo ko na magtrabaho sa holiday pero wala pang 48 hours na notice. Pwede ko ba itong i-report?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
Ilang araw ang annual leave ko kung naka-apat na taon na ako sa parehong amo?,General-LLM,General-LLM,General-LLM,General-LLM
